Liquoere,Limonade
Absinth,Barons Ginseng Cola
Amaretto,Bennett’s Cola
Amarula,Bennett’s Hot Cola
Angostura Bitter,Bennett’s Lemon Cola
Aperol,Big Cola
Averna,Bitter Lemon
Baileys,Caffeine-Free Diet Pepsi
Batida de Coco,Club Mate
Bénédictine,Coca-Cola Black Cherry Vanilla
Blue Curaçao,Coca-Cola Blāk (mit Kaffee-Extrakt)
Campari Bitter,Coca-Cola C2
Cointreau,Cricket Cola
Cream de Cacao White,Cricket Cola
Crème de Bananes,Cricket Cola Diet
Crème de Cacao,Crystal Pepsi
Crème de Cassis,Diet Coke Black Cherry Vanilla
Crème de Menthe,Diet Crystal Pepsi
Curaçao Green,Diet Rite Cola
Curaçao Orange,Double-Cola
Curaçao Red,Dublin Vintage Cola
Curaçao White,Espresso
Eierlikör,Faygo Cola
Galliano,Filbert’s Cola
Grand Marnier,Fruti Cola Nica
Grüne Banane,Fukola Cola
Johannisbeerlikör,Ginger Ale
Kaffeelikör,Ginger Beer
Kirschlikör,Grapefruit-Limonade
Licor 43,GT-Cola
Lillet,New Coke
Luxury Liqueur,Orangen Limonade
Lycheelikör,Pepsi Light mojito Limette & Minze
Malibu,RC Cola
Maracujalikör,RC koffeinfrei
Maraschino,Red Rock Cola
Melonenlikör,Riggs & Forsythe Dry Cola
Orange Bitter,Schwip Schwap
Orangenlikör,Silver Bay Premium Cola
Parfait Amour,Sprecher Grand Cola
Passoa,Stars & Stripes Cola
Passoalikör,TaB Clear
Pfefferminzlikör,Tonicwater
Pfirsichlikör,Vanilla Coke
Pflaumenschnaps,Whopee Cola
Ramazzotti,Wild Cherry Pepsi
Sambuca,XTZ Kosmic Kola
Schlehenlikör,Yankee Cola
Southern Comfort,Z Cola
Triple sec,Zevia Cola
Waldmeisterlikör,Zitronen Limonade
