Saft,Braende
Agaven-Dicksaft,Apricot Brandy
Ananassaft,Armagnac
Apfelsaft,Brandy
Apfelschorle,Cherry Brandy
Bananennektar,Cognac
Birnensaft,Doppelkorn
Blutorangensaft,Grappa
Cranberry Juice,Kirschwasser
Eistee (Pfirsich),Korn
Erdbeersaft,Madeira
Grapefruitsaft,Peach Brandy
Guavensaft,Pisco
Himbeersaft,Weinbrand
Johannisbeersaft,
Karottensaft,
Kirschsaft,
Limettensaft,
Mangonektar,
Mangosaft,
Maracujasaft,
Multivitaminsaft,
Orangensaft,
Pfirsichnektar,
Pfirsichsaft,
roter Traubensaft,
Tomatensaft,
Zitronensaft,
