Destilliertes,Hardware
Absolut Vodga Kurant,Ananaswürfel
Absolut Vodga Mandarin,Basilikum
Absolut Vodga Peppar,brauner Rohrzucker
Apfel Wodka,Buttermilch
Bacardi Black,Ei(er)
Bacardi gold,Eigelb
Bacardi Oakheart,Eiweiß
Bacardi Razz,Erdbeeren
Bourbon Whiskey,Erdbeermus
brauner Rum,Fenchel
Canadian Whiskey,geriebene Muskatnuss
Gin,Grüne Paprika
Mezcal,heiße Schokolade
Myer's Rum,Himbeeren
Puschkin Black Sun,Honig
Roter Wodka,"Ingwer, dünne Scheibe"
Rum Overproof,"Ingwer, Stückchen"
Scotch Whisky,Kaffee
Tequila,Kakaopulver
Vermouth bianco,Kiwi
Vermouth dry,Kokosmilch
Vermouth rosso,Kokoswasser
weißer Rum,"Koriander, Zweig"
Wodka,Limette(n)
Wodka Black,Meersalz
Wodka Vanille,Milch
,Minzeblätter
,Ohai Brause
,Peychaud's Bitter
,Pfirsich
,Pistazien
,Rohrzucker
,Sahne
,Salz
,Sodawasser
,Tabasco
,Vanilleeis
,Würfelzucker
,Yogurt
,Zucker
